,distance,consume,speed,temp_inside,temp_outside,gas_type,AC,rain,sun,Fuel_Price,Journey_Price
173,11.8,4.9,44,21.5,0,E10,0,0,0,1.38,0.8
174,26.2,4.9,42,21.5,6,E10,0,0,0,1.38,1.77
175,40.6,4.4,44,21.0,3,E10,0,0,0,1.38,2.47
176,12.4,5.3,38,21.0,-5,E10,0,0,0,1.38,0.91
177,14.1,5.3,47,21.0,-3,E10,0,0,0,1.38,1.03
178,58.7,4.8,75,21.0,0,E10,0,0,0,1.38,3.89
179,16.2,5.2,29,21.0,0,E10,0,0,0,1.38,1.16
180,12.3,4.9,50,22.5,0,E10,0,0,0,1.38,0.83
181,12.3,7.1,52,22.5,0,E10,1,1,0,1.38,1.21
182,12.4,5.2,51,22.5,1,E10,0,0,0,1.38,0.89
183,31.8,4.7,59,22.5,3,E10,0,0,0,1.38,2.06
184,12.3,5.1,55,22.5,8,E10,0,0,0,1.38,0.87
185,51.6,5.0,73,22.5,12,E10,0,0,0,1.38,3.56
186,38.6,4.6,44,22.5,10,E10,0,0,0,1.38,2.45
187,12.3,4.8,41,22.5,7,E10,0,0,0,1.38,0.81
188,81.2,4.4,69,22.0,13,E10,0,0,0,1.38,4.93
